Date,Open,High,Low,Close,Adj Close,Volume
2010-01-06,18356.710938,19005.492188,18318.546875,18318.546875,18318.546875,1257317
2010-01-07,18318.546875,18356.710938,17936.910156,17936.910156,17936.910156,543679
2010-01-08,18165.892578,18242.220703,17898.748047,17936.910156,17936.910156,921319
2010-01-11,18127.728516,18127.728516,17097.310547,17936.910156,17936.910156,542709
2010-01-12,17746.093750,17936.910156,17364.457031,17364.457031,17364.457031,706372
2010-01-13,16601.183594,17936.910156,16601.183594,17936.910156,17936.910156,1230251
2010-01-14,17936.910156,18013.238281,17555.275391,17707.929688,17707.929688,339557
2010-01-15,17364.457031,17517.111328,17288.128906,17288.128906,17288.128906,559427
2010-01-18,17173.638672,17173.638672,16601.183594,16601.183594,16601.183594,870878
2010-01-19,16792.001953,17059.146484,16715.673828,17059.146484,17059.146484,547033
2010-01-20,17326.292969,17326.292969,16715.673828,16715.673828,16715.673828,405064
2010-01-21,16715.673828,16792.001953,16410.365234,16410.365234,16410.365234,1157354
2010-01-22,16410.365234,16601.183594,16105.056641,16219.546875,16219.546875,867889
2010-01-25,16143.219727,16257.710938,16143.219727,16219.546875,16219.546875,422437
2010-01-26,16601.183594,16677.511719,16257.710938,16334.038086,16334.038086,731764
2010-01-27,16448.529297,16601.183594,16295.874023,16334.038086,16334.038086,442378
2010-01-28,16219.546875,16410.365234,16143.219727,16143.219727,16143.219727,352263
2010-01-29,16143.219727,16143.219727,16028.729492,16028.729492,16028.729492,426710
2010-02-01,16028.729492,16181.383789,15952.401367,15952.401367,15952.401367,283954
2010-02-02,16410.365234,16410.365234,16028.729492,16143.219727,16143.219727,683525
2010-02-03,16410.365234,16601.183594,16334.038086,16601.183594,16601.183594,875226
2010-02-04,16601.183594,16982.820313,16563.019531,16982.820313,16982.820313,895272
2010-02-05,16792.001953,16792.001953,16601.183594,16677.511719,16677.511719,578373
2010-02-08,16372.202148,16677.511719,16372.202148,16677.511719,16677.511719,384494
2010-02-09,16486.693359,16563.019531,16257.710938,16257.710938,16257.710938,210456
2010-02-10,16410.365234,16715.673828,16410.365234,16601.183594,16601.183594,203431
2010-02-11,16639.347656,16982.820313,16639.347656,16982.820313,16982.820313,601406
